Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site
84234,,S-Pli70Bl15Lw10Sx5-8-2.2-21/E-1200(08),2002,RESULTS,,Operational,51.72967589,-120.5984325,,,,SBSmm,SBSmm,SBSmm/01,,,,,,,2002-05-01,5,
81556,,S-Pli91Lw3Cw3Bl3-12-4.5-24/E-1057(11),2002,RESULTS,,Operational,51.76228031,-120.5818796,,,,ICHmk3,ICHmk3,ICHmk3/04,,,,,,,2002-05-01,5,
94400,,S-Pli61Bl32Sx7-9-2.7-22/E-1161(10),2002,RESULTS,,Operational,51.76843088,-120.8223057,,,,SBSdw1,SBSdw1,SBSdw1/01,,,,,,,2002-05-01,5,
84235,,S-Pli72Sx17Lw7Bl4-8-2.4-21/E-1133(08),2002,RESULTS,,Operational,51.71681937,-120.6004789,,,,SBSmm,SBSmm,SBSmm/01,,,,,,,2002-05-01,5,
67138,,S-Pli49Fdi44Sx7-26-4.7-15/A-1136(07),2002,RESULTS,,Operational,51.90681522,-121.48984,,,,SBPSmk,SBPSmk,SBPSmk/01,,,,,,,2002-05-01,5,
92270,,S-Pli69Sx26Bl5-10-1.9-12/E-978(11),2002,RESULTS,,Operational,52.02377609,-121.0287409,,,,ESSFwk1,ESSFwk1,ESSFwk1/02,,,,,,,2002-06-01,6,
85163,,S-Sx68Pli16Bl14Lw2-10-2.2-21/E-1000(11),2002,RESULTS,,Operational,51.95843383,-120.6631626,,,,ICHdk,ICHdk,ICHdk/09,,,,,,,2002-06-01,6,
65509,,S-Hm70Ba30-16-1.5-25/E-800(16),2002,RESULTS,,Operational,50.23467254,-126.5000147,,,,MHmm1,MHmm1,MHmm1/01,,,,,,,2002-09-01,9,
85430,,S-Ba50Hw40Yc10-15-3.0-28/E-1000(17),2002,RESULTS,,Operational,49.9776905,-126.3436091,,,,MHmm1,MHmm1,CWHvm2/07,,,,,,,2002-09-01,9,
68808,,S-Ba54Hw34Ss10Cw2-11-2.6-25/I-870(10),2002,RESULTS,,Operational,53.83397721,-128.2784018,,,,MHmm2,MHmm2,CWHws2/01,,,,,,,2002-05-01,5,
103287,,S-Ba55Hw35Cw10-10-2.8-29/E-960(14),2003,RESULTS,,Operational,49.24809814,-125.1670832,,,,CWHmm1,CWHmm1,CWHvm1/07,,,,,,,2003-09-17,9,
92761,,S-Fdi74Pli22Sx4-11-1.7-20/E-960(11),2002,RESULTS,,Operational,50.92583689,-121.9586284,,,,IDFdk1,IDFdk1,IDFdk1/05,,,,,,,2002-05-01,5,
84239,,S-Pli47Sx29Bl11Fdi9Lw4-8-2.4-18/E-1167(08),2002,RESULTS,,Operational,51.71080502,-120.5880787,,,,SBSmm,SBSmm,SBSmm/01,,,,,,,2002-05-01,5,
109971,,S-Fdc100-12-5.0-32/E-800(13),2003,RESULTS,,Operational,50.18904287,-125.3920571,,,,CWHxm1,CWHxm1,CWHxm2/01,,,,,,,2003-03-29,3,
95942,,S-Fdi39Pli25Bl13Sx13Pw10-13-3.1-18/I-1033(13),2002,RESULTS,,Operational,51.50195131,-117.1631582,,,,ICHmk5,ICHmk5,ICHmw1/04,,,,,,,2002-05-15,5,
98500,,S-Hw90Fdc10-10-3.5-26/E-700(12),2003,RESULTS,,Operational,49.83995053,-126.3492276,,,,CWHvm1,CWHvm1,CWHvm1/03,,,,,,,2003-05-07,5,
91293,,S-Hw75Fdc25-10-3.0-24/E-800(11),2003,RESULTS,,Operational,49.7390365,-126.0569992,,,,CWHvm1,CWHvm1,CWHxm2/03,,,,,,,2003-05-10,5,
114097,,S-Fdc80Hw10Pw10-10-3.0-22/E-720(14),2003,RESULTS,,Operational,49.73185658,-126.0012646,,,,CWHvm1,CWHvm1,CWHvm1/03,,,,,,,2003-05-05,5,
86210,,S-Pli71Fdi22Lw7-9-2.4-19/E-1314(10),2002,RESULTS,,Operational,50.96676742,-120.3246437,,,,MSdm3,MSdm3,IDFdk2/01,,,,,,,2002-05-01,5,
98371,,S-Pli29Py29Fdi24Lw18-9-1.6-18/E-920(10),2002,RESULTS,,Operational,51.03096955,-120.2642055,,,,MSdm3,MSdm3,IDFdk2/01,,,,,,,2002-05-01,5,
98370,,S-Fdi43Pli38Lw19-6-1.3-18/E-1040(07),2002,RESULTS,,Operational,51.02559341,-120.2634195,,,,MSdm3,MSdm3,IDFdk2/01,,,,,,,2002-05-01,5,
99454,,S-Cw70Hw30-11-2.5-21/E-792(12),2003,RESULTS,,Operational,49.65761496,-126.7477392,,,,CWHvh1,CWHvh1,CWHvm1/01,,,,,,,2003-04-01,4,
68298,,S-Pli46Fdi41Sx13-11-2.0-18/E-1171(12),2003,RESULTS,,Operational,52.88803586,-123.5978628,,,,SBPSdc,SBPSdc,SBSdw2/05,,,,,,,2003-05-01,5,
97962,,S-Fdc80Hw20-16-4.5-28/E-800(19),2003,RESULTS,,Operational,49.72118098,-126.0331732,,,,CWHvm1,CWHvm1,CWHvm1/01,,,,,,,2003-04-09,4,
90027,,S-Py52Fdi32Pli16-12-2.0-18/E-850(16),2002,RESULTS,,Operational,50.93951576,-119.6450505,,,,IDFmw2,IDFmw2,IDFxh1/06,,,,,,,2002-05-01,5,
110699,,S-Pli94At6-10-1.8-18/E-1000(12),2003,RESULTS,,Operational,49.801022,-120.5041297,,,,IDFdk2,IDFdk2,IDFdk1/01,,,,,,,2003-05-01,5,
26732,,S-Fdi46Sx14Pli14Py13Lw13-11-1.9-18/E-938(05),2003,RESULTS,,Operational,49.67304398,-118.7459654,,,,ICHmk1,ICHmk1,,,,,,,,2003-05-01,5,
105846,,S-Pli71Sx21Cw4Bl4-7-2.3-24/E-1120(08),2003,RESULTS,,Operational,51.96759744,-120.5961257,,,,ICHdk,ICHdk,ICHdk/01,,,,,,,2003-05-01,5,
107251,,S-Fdi81Pli19-18-2.0-21/E-800(16),2003,RESULTS,,Operational,51.85465055,-120.9359793,,,,SBSdw1,SBSdw1,SBSdw1/01,,,,,,,2003-05-01,5,
97988,,S-Pli85Lw12Bl3-8-2.2-17/E-1133(10),2003,RESULTS,,Operational,49.34736006,-120.6764808,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,2003-06-01,6,
73356,,S-Py48Lw43Fdi9-8-2.1-15/E-960(10),2003,RESULTS,,Operational,49.13497183,-119.3839943,,,,IDFxh1,IDFxh1,IDFdm1/04,,,,,,,2003-04-01,4,
73355,,S-Lw46Py42Fdi12-8-1.9-15/E-920(10),2003,RESULTS,,Operational,49.14481071,-119.3795859,,,,IDFxh1,IDFxh1,IDFdm1/04,,,,,,,2003-04-01,4,
73351,,S-Lw51Py32Fdi17-8-1.8-15/E-988(10),2003,RESULTS,,Operational,49.14416225,-119.3939868,,,,IDFxh1,IDFxh1,IDFdm1/04,,,,,,,2003-04-01,4,
67836,,S-Bl57Sx43-14-1.9-20/E-1200(16),2003,RESULTS,,Operational,50.71395801,-117.6719111,,,,ESSFwc4,ESSFwc4,ESSFwc1/01,,,,,,,2003-06-01,6,
87633,,S-Ba39Yc32Hm26Hw3-9-1.3-12/E-900(13),2003,RESULTS,,Operational,50.2577951,-126.3449221,,,,MHmm1,MHmm1,MHmm1/01,,,,,,,2003-08-22,8,
97724,,S-Pli53Lw47-9-3.6-21/I-1160(12),2003,RESULTS,,Operational,49.45008455,-120.6501358,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,2003-05-20,5,
101909,,S-Pl30Sx26Cw20Fdi16At8-11-2.9-24/O-1120(13),2003,RESULTS,,Operational,52.61537264,-119.1265293,,,,SBSdh1,SBSdh1,ICHmm/01,,,,,,,2003-06-01,6,
101905,,S-Pli50Fdi25Sx21Bl4-16-3.9-21/E-1120(15),2003,RESULTS,,Operational,52.62134195,-119.1305789,,,,SBSdh1,SBSdh1,ICHmm/04,,,,,,,2003-06-01,6,
98313,,S-Ba40Hw40Yc20-14-2.0-27/O-800(16),2003,RESULTS,,Operational,50.34241307,-126.2670316,,,,MHmm1,MHmm1,MHmm1/01,,,,,,,2003-08-24,8,
1662613,,S-Yc48Cw48Pw4-1-0.2-16/E-760(17),2017,RESULTS,,Operational,50.44097173,-127.6723455,,,,CWHvm1,CWHvm1,CWHvm1/03,,,,,,,2017-09-28,9,
89793,,S-Hw41Sx32Cw21Bl6-13-2.9-19/E-1200(16),2004,RESULTS,,Operational,55.56577257,-128.7517386,,,,ICHmc1,ICHmc1,ICHmc2/03,,,,,,,2004-06-01,6,
69324,,S-Fdi85Pli10Sx5-15-1.4-19/E-960(16),2003,RESULTS,,Operational,50.94323109,-116.4433587,,,,IDFdk5,IDFdk5,IDFdm2/01,,,,,,,2003-05-01,5,
106218,,S-Pli58Fdi23Lw19-6-2.5-20/E-1000(08),2003,RESULTS,,Operational,51.01253754,-116.5632165,,,,IDFdk5,IDFdk5,IDFdm2/01,,,,,,,2003-05-01,5,
102142,,S-Yc55Hw30Ba15-12-2.2-26/E-900(14),2003,RESULTS,,Operational,50.13708976,-126.5496286,,,,CWHvm2,CWHvm2,CWHvm2/01,,,,,,,2003-09-01,9,
104282,,S-Pli53Fdi27Sx12Lw8-10-2.2-14/H-866(11),2003,RESULTS,,Operational,50.92104373,-120.7834454,,,,IDFdk1,IDFdk1,IDFdk1/04,,,,,,,2003-04-01,4,
112870,,S-Bp63Yc23Ba14-11-2.4-12/E-840(14),2003,RESULTS,,Operational,50.00514572,-126.240078,,,,MHmm1,MHmm1,MHmm1/01,,,,,,,2003-09-01,9,
45920,,S-Pli33Lw28Py17Fdi17Bl5-14-4.7-23/I-1200(10),1997,RESULTS,,Operational,49.21345951,-116.0095323,,,,ICHdm,ICHdm,ICHmw2/04,,,,,,,1997-05-01,5,
71281,,S-Pli72Lw16Fdi8Sx4-9-1.7-18/E-1040(10),2003,RESULTS,,Operational,51.02394902,-116.6129708,,,,IDFdk5,IDFdk5,MSdk/04,,,,,,,2003-04-01,4,
94066,,S-Hw36Pw24Cw16Fdc14Dr5Yc4Ss1-10-2.5-37/H-1250(12),2003,RESULTS,,Operational,50.17705129,-125.2409849,,,,CWHxm2,CWHxm2,CWHxm2/01,,,,,,,2003-09-30,9,
63349,,S-Py73Fdi23Lw4-10-3.0-15/E-1000(14),2003,RESULTS,,Operational,50.94093957,-119.4754896,,,,IDFmw2,IDFmw2,IDFmw2/03,,,,,,,2003-05-01,5,
99911,,S-Py56Fdi42Pw2-1-0.2-15/E-1200(03),2003,RESULTS,,Operational,51.66334648,-119.5414722,,,,ICHdw3,ICHdw3,,,,,,,,2003-04-30,4,
104707,,S-Pli78Lw19Py3-9-3.7-23/I-1200(13),2004,RESULTS,,Operational,49.18846809,-118.5519941,,,,ICHmk1,ICHmk1,ICHdw/01,,,,,,,2004-05-05,5,
-392300000,,S-Sx50Pli39At11-8-1.9-18/E-1089(11),2004,RESULTS,,Operational,55.81344828,-121.2047391,,,,BWBSmw,BWBSmw,BWBSmw1/01,,,,,,,2004-05-22,5,
117016,,S-Hw40Ss30Fdc30-8-6.5-28/E-800(12),2004,RESULTS,,Operational,49.91799997,-126.2130449,,,,CWHvm1,CWHvm1,CWHxm2/06,,,,,,,2004-05-04,5,
109631,,S-Pli48Sx27Lw10At9Bl6-12-2.2-19/E-1025(14),2004,RESULTS,,Operational,50.99723624,-120.10911,,,,MSdm3,MSdm3,MSdm2/01,,,,,,,2004-05-15,5,
71969,,S-Pli46Sx20Fdi14Lw11Bl9-11-2.8-19/E-1143(13),2004,RESULTS,,Operational,50.98457884,-120.1457554,,,,IDFdk2,IDFdk2,MSdm2/01,,,,,,,2004-05-26,5,
105139,,S-Pli34Fdi31Lw22Py12Sx1-9-3.2-24/E-1141(14),2004,RESULTS,,Operational,49.62450144,-116.2289873,,,,ICHdm,ICHdm,ICHmw2/03,,,,,,,2004-05-16,5,
94057,,S-Hw30Ba30Yc20Cw20-11-2.5-24/E-700(13),2004,RESULTS,,Operational,49.91415914,-126.0592807,,,,MHmm1,MHmm1,CWHvm2/01,,,,,,,2004-09-11,9,
91610,,S-Hw60Ba40-12-4.0-26/E-800(14),2004,RESULTS,,Operational,49.95610845,-126.0667879,,,,CWHvm2,CWHvm2,CWHvm2/01,,,,,,,2004-09-09,9,
58475,,S-Pli53Bl47-11-1.9-18/E-1160(08),2003,RESULTS,,Operational,49.18452461,-120.7040137,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,2003-05-30,5,
110696,,S-Pli96Fdi3Lw1-15-5.2-18/E-968(17),2004,RESULTS,,Operational,49.84513468,-120.4857728,,,,IDFdk1,IDFdk1,IDFdk1/01,,,,,,,2004-04-30,4,
109525,,S-Pli96Lw4-14-4.3-19/I-1157(15),2004,RESULTS,,Operational,49.56010707,-120.6236702,,,,IDFdk2,IDFdk2,MSdm2/01,,,,,,,2004-05-31,5,
122516,,S-Pli97At3-8-2.0-18/E-1000(11),2004,RESULTS,,Operational,49.77223054,-120.4728434,,,,IDFdk2,IDFdk2,IDFdk1/01,,,,,,,2004-05-31,5,
87318,,S-Lw24Fdi22Cw16Hw14Pw14Pli8Py2-10-2.0-19/E-1200(13),2004,RESULTS,,Operational,50.33421653,-117.9441724,,,,ICHmw2,ICHmw2,ICHmw2/03,,,,,,,2004-04-30,4,
87316,,S-Fdi44Hw26Cw19Pli4Pw4Lw2Py1-14-1.9-19/E-1053(16),2004,RESULTS,,Operational,50.33254438,-117.952159,,,,ICHmw2,ICHmw2,ICHmw2/03,,,,,,,2004-04-29,4,
117942,,S-Pli97Sx2Sb1-12-3.0-22/I-1083(15),2004,RESULTS,,Operational,53.10552741,-123.684095,,,,SBPSdc,SBPSdc,SBPSdc/01,,,,,,,2004-05-23,5,
95396,,S-Pli89Fdi11-8-2.0-18/E-972(10),2003,RESULTS,,Operational,49.30226574,-120.6181742,,,,MSdm2,MSdm2,IDFdk2/01,,,,,,,2003-06-02,6,
114863,,S-Pli76Fdi12Lw8At4-8-2.5-21/E-1240(11),2004,RESULTS,,Operational,50.99445885,-120.3383372,,,,MSdm3,MSdm3,MSdm2/01,,,,,,,2004-05-14,5,
110701,,S-Pli92Sx5Bl3-8-2.0-19/E-1200(11),2004,RESULTS,,Operational,49.25955318,-120.711861,,,,MSdm2,MSdm2,MSdm2/01,,,,,,,2004-05-01,5,
71490,,S-Pli94Sx4Bl2-7-1.8-16/E-976(10),2003,RESULTS,,Operational,50.27709017,-120.9609223,,,,MSxk2,MSxk2,MSxk/01,,,,,,,2003-05-30,5,
85375,,S-Pli88Fdi8Lw2Sx1Bl1-12-3.8-22/I-995(15),2003,RESULTS,,Operational,49.70676112,-120.7905568,,,,IDFdk2,IDFdk2,MSdm2/04,,,,,,,2003-05-24,5,
104113,,S-Pli62Fdi22Lw12Bl4-15-5.7-19/E-1146(18),2004,RESULTS,,Operational,51.03699665,-120.3116305,,,,MSdm3,MSdm3,MSdm2/01,,,,,,,2004-05-15,5,
110673,,S-Pli90At6Fdi4-8-1.6-18/E-975(11),2004,RESULTS,,Operational,49.86627107,-120.4775817,,,,IDFdk1,IDFdk1,IDFdk1/01,,,,,,,2004-05-31,5,
118604,,S-Sx51Pli44Bl5-15-1.9-20/I-1200(15),2005,RESULTS,,Operational,51.54246955,-116.955959,,,,ESSFmm3,ESSFmm3,,,,,,,,2005-05-19,5,
112697,,S-Pli100-10-2.0-18/E-1000(13),2005,RESULTS,,Operational,49.12717134,-120.5634726,,,,MSdm2,MSdm2,IDFdk2/01,,,,,,,2005-04-27,4,
118370,,S-Pli92Lw6Bl2-10-2.7-19/E-1200(13),2005,RESULTS,,Operational,49.6939146,-120.4526625,,,,MSdm2,MSdm2,MSdm2/01,,,,,,,2005-05-24,5,
118372,,S-Pli95Fdi5-12-2.2-17/E-1200(16),2005,RESULTS,,Operational,49.66578301,-120.4497615,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,2005-05-24,5,
118268,,S-Pli68Sx20Bl12-14-2.9-17/E-1000(18),2005,RESULTS,,Operational,49.75121328,-119.0386158,,,,ESSFdc2,ESSFdc2,ESSFdc2/01,,,,,,,2005-06-03,6,
96750,,S-Fdc48Cw30Hw22-10-4.8-28/E-900(13),2004,RESULTS,,Operational,48.44360782,-124.0567231,,,,CWHvm1,CWHvm1,CWHvm1/01,,,,,,,2004-03-01,3,
72164,,S-Pli49Lw36Fdi15-9-1.9-21/E-929(10),2005,RESULTS,,Operational,49.14435994,-118.7195156,,,,ICHmk1,ICHmk1,ICHmk1/03,,,,,,,2005-04-27,4,
77407,,S-Pli96Fdi4-9-2.0-17/E-1067(13),2005,RESULTS,,Operational,49.34790614,-120.6662333,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,2005-05-11,5,
116282,,S-Ba82Yc14Hw4-11-2.2-26/E-900(15),2005,RESULTS,,Operational,50.00945929,-126.2655741,,,,CWHvm2,CWHvm2,CWHvm2/01,,,,,,,2005-09-09,9,
1049699,,S-Yc23Hw21Bp21Cw20Ba15-12-2.0-28/E-800(16),2005,RESULTS,,Operational,50.37543817,-126.8982799,,,,CWHvm2,CWHvm2,CWHvm2/01,,,,,,,2005-09-19,9,
52421,,S-Ba59Hw41-12-2.3-28/E-850(14),2005,RESULTS,,Operational,50.01796724,-126.2616359,,,,CWHvm2,CWHvm2,CWHvm2/01,,,,,,,2005-09-09,9,
1052770,,S-Hw50Ba20Yc20Pw10-14-2.8-28/E-1000(18),2005,RESULTS,,Operational,50.16196457,-126.4931025,,,,CWHvm2,CWHvm2,MHmm1/01,,,,,,,2005-09-29,9,
111023,,S-Cw47Hw29Fdc24-10-6.0-22/E-843(14),2004,RESULTS,,Operational,48.44383138,-124.0677222,,,,CWHvm1,CWHvm1,CWHxm2/05,,,,,,,2004-03-01,3,
1057790,,S-Hw60Fdc27Cw13-9-52.6-30/E-875(14),2005,RESULTS,,Operational,50.62609516,-124.9236202,,,,CWHdm,CWHdm,CWHdm/01,,,,,,,2005-10-22,10,
115151,,S-Pli63Lw26Fdi11-12-3.9-20/E-904(16),2005,RESULTS,,Operational,50.87961793,-116.4464251,,,,IDFdk5,IDFdk5,IDFdm2/01,,,,,,,2005-05-15,5,
91076,,S-Pli57Fdi23Py20-12-2.9-18/E-1000(16),2005,RESULTS,,Operational,50.03008689,-119.5440499,,,,IDFdk2,IDFdk2,IDFdk2/01,,,,,,,2005-04-18,4,
91075,,S-Py37Pli33Lw26Fdi4-12-3.1-20/M-1080(16),2005,RESULTS,,Operational,50.02533167,-119.5422758,,,,IDFdk2,IDFdk2,IDFdk2/04,,,,,,,2005-04-18,4,
90313,,S-Pli68Fdi21Lw11-12-4.1-20/M-920(16),2005,RESULTS,,Operational,50.02435005,-119.5327262,,,,IDFdk2,IDFdk2,IDFdk2/01,,,,,,,2005-04-27,4,
1052898,,S-Pli67Sx33-9-2.2-19/E-1040(13),2005,RESULTS,,Operational,51.16615214,-120.3071592,,,,MSdm3,MSdm3,MSdm2/01,,,,,,,2005-06-20,6,
116933,,S-Pli74Fdi13Lw7At5Ep1-9-3.7-21/E-1152(12),2005,RESULTS,,Operational,51.28142676,-119.8275822,,,,ICHdw3,ICHdw3,ICHmw3/01,,,,,,,2005-05-12,5,
112272,,S-Pli94Fdi4Lw1Sx1-12-2.1-16/E-1083(16),2005,RESULTS,,Operational,50.46912702,-121.2012287,,,,IDFdk1,IDFdk1,MSxk/01,,,,,,,2005-05-02,5,
110180,,S-Pli92Sx5Lw3-12-2.4-16/E-1053(16),2005,RESULTS,,Operational,50.49839976,-121.1699853,,,,MSxk2,MSxk2,MSxk/01,,,,,,,2005-05-01,5,
110178,,S-Pli89Sx11-11-1.9-12/E-840(16),2005,RESULTS,,Operational,50.4932935,-121.1768444,,,,MSxk2,MSxk2,MSxk/02,,,,,,,2005-05-02,5,
110195,,S-Pli80Py12Fdi6Lw2-9-1.2-18/E-909(10),2004,RESULTS,,Operational,49.93026189,-120.5227846,,,,IDFdk1,IDFdk1,IDFdk1/01,,,,,,,2004-05-04,5,
90311,,S-Pli39Fdi39Lw22-13-4.6-18/E-880(17),2005,RESULTS,,Operational,50.03608974,-119.5277324,,,,IDFdk2,IDFdk2,IDFdk2/01,,,,,,,2005-04-26,4,
71135,,S-Py63Pli32Lw5-12-2.2-18/E-760(16),2005,RESULTS,,Operational,49.98376399,-119.5457825,,,,IDFdk2,IDFdk2,IDFdm1/01,,,,,,,2005-04-21,4,
112414,,S-Fdc61Cw30Ss9-1-0.3-33/M-1215(04),2005,RESULTS,,Operational,48.43391986,-124.0439157,,,,CWHvm1,CWHvm1,CWHxm2/01,,,,,,,2005-02-21,2,
68170,,S-Ba65Se30Hm5-9-1.5-16/E-880(13),2005,RESULTS,,Operational,49.30752269,-121.3377162,,,,MHmm2,MHmm2,CWHms1/01,,,,,,,2005-09-30,9,
63349,,S-Py73Fdi23Lw4-10-3.0-15/E-1000(14),2004,RESULTS,,Operational,50.94093957,-119.4754896,,,,IDFmw2,IDFmw2,IDFmw2/03,,,,,,,2004-05-07,5,
93695,,S-Fdi47Pli29Sx8Cw8Pw8-11-2.8-21/E-967(15),2005,RESULTS,,Operational,51.35967733,-119.7213808,,,,ICHdw3,ICHdw3,ICHmw3/04,,,,,,,2005-09-19,9,
91156,,S-Fdi42Pli42Sx8Lw8-9-1.2-18/E-343(13),2003,RESULTS,,Operational,49.17821988,-120.6104664,,,,ESSFdc2,ESSFdc2,MSdm2/04,,,,,,,2003-06-04,6,
83170,,S-Ba61Hm22Yc17-12-1.7-16/E-880(18),2004,RESULTS,,Operational,50.16639393,-126.7060752,,,,MHmm1,MHmm1,MHmm1/05,,,,,,,2004-09-28,9,
93070,,S-Fdi41Pli41Py18-9-1.8-23/E-1040(11),2005,RESULTS,,Operational,51.65464346,-119.9759612,,,,IDFmw2,IDFmw2,IDFmw2/01,,,,,,,2005-05-28,5,
1061427,,S-Fdi59Pli41-12-4.1-18/E-1000(17),2005,RESULTS,,Operational,51.35622577,-119.7494,,,,ICHdw3,ICHdw3,ICHmw3/03,,,,,,,2005-09-20,9,
39265,,S-Pli76Lw24-14-5.0-20/E-1000(14),2005,RESULTS,,Operational,51.13623144,-120.2622456,,,,ICHmk2,ICHmk2,ICHmk1/01,,,,,,,2005-08-20,8,
111711,,S-Fdc100-10-6.5-40/I-800(12),2004,RESULTS,,Operational,50.16551888,-125.2153273,,,,CWHxm2,CWHxm2,CWHvm2/05,,,,,,,2004-05-01,5,
82979,,S-Yc46Ba42Hm8Hw4-10-1.5-12/E-900(18),2004,RESULTS,,Operational,50.18285002,-126.7182105,,,,MHmm1,MHmm1,MHmm1/01,,,,,,,2004-10-10,10,
106805,,S-Pli88Fdi12-11-1.8-18/E-1000(13),2004,RESULTS,,Operational,50.30056008,-120.8660572,,,,IDFdk1,IDFdk1,IDFdk1/01,,,,,,,2004-05-01,5,
108462,,S-Pli71Lw18Sx7Fdi4-11-3.8-23/I-960(14),2005,RESULTS,,Operational,50.94451748,-116.5172925,,,,IDFdk5,IDFdk5,IDFdm2/01,,,,,,,2005-05-12,5,
1068022,,S-Fdi58Lw38Pli4-8-1.5-21/E-920(12),2005,RESULTS,,Operational,50.83048828,-116.3220991,,,,IDFdk5,IDFdk5,IDFdm2/04,,,,,,,2005-04-29,4,
107012,,S-Pli96Lw4-11-2.8-18/E-960(13),2004,RESULTS,,Operational,50.30486332,-120.8779663,,,,IDFdk1,IDFdk1,IDFdk1/01,,,,,,,2004-05-13,5,
119212,,S-Fdc80Cw20-10-6.0-40/I-880(12),2004,RESULTS,,Operational,50.1664231,-125.2189026,,,,CWHxm2,CWHxm2,CWHxm1/07,,,,,,,2004-05-01,5,
117631,,S-Pli44Lw28Sx22Fdi6-9-3.2-19/I-1000(13),2005,RESULTS,,Operational,51.00986578,-116.6051574,,,,IDFdk5,IDFdk5,IDFdm2/04,,,,,,,2005-06-08,6,
1049915,,S-Lw64Pli20Fdi16-10-3.9-26/I-920(13),2005,RESULTS,,Operational,50.95371464,-116.595231,,,,IDFdk5,IDFdk5,IDFdm2/04,,,,,,,2005-05-07,5,
1558856,,S-Cw68Fdc26Pw3Hw3-3-0.4-22/E-306(17),2014,RESULTS,,Operational,50.22211718,-127.0571643,,,,CWHvm1,CWHvm1,CWHvm1/02,,,,,,,2014-10-03,10,
18662,,S-Pli62Fdi15Lw14Sx9-14-4.2-21/E-920(14),1998,RESULTS,,Operational,49.88586804,-119.7254437,,,,MSdm2,MSdm2,MSdm2/04,,,,,,,1998-05-26,5,
1048943,,S-Pli58Fdi42-11-3.3-18/E-1000(15),2006,RESULTS,,Operational,51.2617834,-120.0346306,,,,MSdm3,MSdm3,IDFdk2/03,,,,,,,2006-05-09,5,
116257,,S-Pli36Bl22Sx21Fdi13Lw8-12-5.5-15/E-1000(17),2006,RESULTS,,Operational,51.36903901,-120.289151,,,,SBSmm,SBSmm,SBSmm/04,,,,,,,2006-05-14,5,
1048944,,S-Pli65Fdi35-11-3.1-18/E-1000(15),2006,RESULTS,,Operational,51.2615807,-120.0292272,,,,MSdm3,MSdm3,IDFdk2/03,,,,,,,2006-05-08,5,
84541,,S-Ba95Hm5-14-2.2-16/E-880(15),2006,RESULTS,,Operational,49.29798146,-121.5445395,,,,MHmm2,MHmm2,MHmm2/01,,,,,,,2006-06-11,6,
69300,,S-Pli75Lw14Cw9Sx2-10-5.0-21/I-1133(14),2004,RESULTS,,Operational,50.79821705,-119.8339752,,,,ICHmk2,ICHmk2,ICHmk2/01,,,,,,,2004-06-04,6,
89971,,S-Sx38Bl31Pli24Fdi7-16-3.0-18/E-1160(19),2003,RESULTS,,Operational,49.30767807,-119.8741608,,,,MSxk1,MSxk1,MSdm2/05,,,,,,,2003-05-26,5,
89971,,S-Pli42Fdi23Lw15Sx12Bl8-15-2.7-21/E-1160(19),2003,RESULTS,,Operational,49.30881773,-119.8719339,,,,IDFdk1,IDFdk1,MSdm2/05,,,,,,,2003-05-26,5,
81140,,S-Sx63Fdi21Pli16-10-1.2-20/M-1060(15),2006,RESULTS,,Operational,54.60665595,-124.6086282,,,,SBSdk,SBSdk,SBSdk/01,,,,,,,2006-06-01,6,
113872,,S-Fdi46Lw46Pli8-11-1.2-19/E-900(17),2006,RESULTS,,Operational,50.49603947,-115.9175825,,,,IDFdk5,IDFdk5,IDFdm2/01,,,,,,,2006-05-13,5,
1072289,,S-Cw65Fdc21Hw14-12-3.0-24/E-900(16),2006,RESULTS,,Operational,49.74140372,-123.4726869,,,,CWHdm,CWHdm,CWHvm1/01,,,,,,,2006-06-10,6,
84705,,S-Sx79Bl21-11-1.4-20/M-1000(16),2006,RESULTS,,Operational,54.85760392,-124.8801921,,,,SBSdk,SBSdk,SBSdw3/09,,,,,,,2006-05-29,5,
75202,,S-Pli76Sx24-7-2.2-20/E-1200(11),2005,RESULTS,,Operational,53.7452297,-126.0792917,,,,SBSdk,SBSdk,SBSdk/01,,,,,,,2005-05-30,5,
98597,,S-Lw31Fdi31Pli20Hw8Cw8Pw2-9-3.7-19/E-1022(14),2006,RESULTS,,Operational,49.94605004,-117.3462162,,,,ICHmw2,ICHmw2,ICHmw2/03,,,,,,,2006-05-07,5,
107435,,S-Hw47Lw26Fdi10Sx9Pw4Cw2Pli2-14-2.9-19/E-964(17),2006,RESULTS,,Operational,49.94078719,-117.3461828,,,,ICHmw2,ICHmw2,ICHmw2/01,,,,,,,2006-05-10,5,
98943,,S-Fdi45Pli41Pw14-13-6.0-21/E-960(15),2004,RESULTS,,Operational,51.35532369,-119.7755202,,,,ICHdw3,ICHdw3,ICHmw3/01,,,,,,,2004-09-28,9,
