Trial type,Trial_ID,Replicate,Latitude,Longitude,Elevation,Aspect,Slope,BGC,SS_NoSpace,SMR,SNR,Spp_Code,Planting Year,Local_or_Offsite, BHAge,DBH,Best_Height,Y2BHA,SI50,NodeHeight2,NodeHeight3,NodeHeight4,Damage,Severity,Best_Vigour,Survival_est,Vigour_Variability,Num_Planted,Comment
Operational,Terrace_Fd,Rep2,"54.60502171
",-128.7270268,,,,,Cwhws1/01,4,C,FD,,O,,16.5,9.6,,,8.4,7.5,6.6,,,02-Jan,Excellent_good,,,
Operational,Terrace_Pl,,"54.6050469
",-128.7268681,,,,,Cwhws1/01,4,C,"Pli 
",,L,,,,,,,,,,,05-Apr,Poor_fail,,,Pl is not doing well probably poor to fail plantation. 
Operational,Terrace_Sx,,"54.60507678
",-128.7273612,,,,,Cwhws1/01,4,C,"
Sx",,O,,"
13.5","
8.8",,,"
7.8","
7.1",6.6,,,2,Good,,,Sx doing good in this site
Operational,Terrace_Bg,Rep 2,"54.60547123
",-128.7277288,,,0,,Cwhws1/01,4,C,"
Bg",,O,,"
9",7.1,,,"
6.2",5.4,4.7,,,2,Good,,,
Operational,Terrace_LW,Rep 3,"54.6058061
",-128.7276916,,,,,Cwhws1/01,4,C,"
LW",,O,,"
12",9.6,,,"
8.9",,,,,2,Good,,,Wastern Larch are doing good in this site
Operational,1606218,,"54.74230837
",-127.2955961,,,,SBSmc2,SBSmc2/01,,,"
LW",2014,O,,,,,,,,,,,2,Good,,1020,
Operational,1657139,,"54.74238187
",-126.7985842,960,255,5,SBSmc2,SBSmc2/01,,,"
FDI",2016,O,,,,,,,,,Frost,?,,,,10080,Frost damage
Operational,1607576,,"54.76186181
",-127.3604256,,,,SBSmc2,SBSmc2/01,,,"
LW",2014,O,,,,,,,,,,,3,Fair,,915,
Operational,1607442,,"54.7780576
",-127.4181956,,,,SBSmc2,SBSmc2/01,,,"
LW",2014,O,,,,,,,,,,,3,Fair,,615,
Operational,1611237,,"54.7954681
",-127.5300973,,,,SBSmc2,"SBSmc2/01
",,,"
LW",2014,O,,,,,,,,,,,3,Fair,,1815,
Operational,325810000,Rep1,"55.13364392
",-122.9757426,710,,0,SBSwk2,SBSwk2/02,2,B,"Pli 
",1987,L,"
",,11.7,,,"10.9
","10.4
","9.6
",,,3,Fair,,22000,
Operational,325810000,Rep2,"55.13364392
",-122.9757426,710,,0,SBSwk2,SBSwk2/02,2,B,FDI,1987,O,28,,9.3,,15.7,8.8,8.4,,,,3,Fair,,,
Other,Seaton_Private_Lw_Or_Ls,,"55.13452752
",-127.3857936,,,,SBSwk2,SBSwk2/02,2,B,"
LW",,O,,,,,,,,,,,1,Excellent,,,
Operational,1540890,Rep1,"55.19936299
",-122.9976368,725,260,10,SBSwk2,SBSwk2/03,4,C,"Pli 
",2014,L,"
",,4.8,,,4.1,3.4,2.7,Frost,?,04-Mar,Fair_poor,,3780,Very low
Operational,1540890,Rep2,"55.19936299
",-122.9976368,725,260,10,SBSwk2,SBSwk2/03,,,FDI,2014,O,2,,1.93,,28.4,1.32,0.88,0.6,,,,,,,
Operational,313830000,Rep1,"55.23240686
",-123.0248365,,,,,Oakfern aralia,,,Sx,1986,L,,,12.2,,,11.6,10.7,10.2,,,,,3,,
Operational,313830000,Rep2,"55.23240686
",-123.0248365,,,,,Oakfern aralia,,,Fdi,1986,O,30,,8.1,,12.5,7.8,7.4,,Competition damage,?,3,Fair,3,,Competition Sx and deciduous
Operational,313830000,Rep3,"55.23290656
",-123.0232311,760,240,20,SBSwk2,SBSwk2/devilsclub,5,D,"
FDI",1986,O,,,,,,,,,Competition damage,high,4,Poor,,5000,
Operational,36070,Rep1,"55.26218111
",-123.1416249,1690,45,5,SBSmk1,SBSmk2/02,3,B,"Pli 
",1995,L,,,14.6,,,13.9,,,,,,,,1560,
Operational,36070,Rep2,"55.26218111
",-123.1416249,1690,45,5,SBSmk1,SBSmk2/02,3,B,LS,1995,O,20,,14.1,,29.2,,,,,,,,,,Lots of disease on Pl atripellis comandar
Research,EP1324.02.01.18,,"55.32642971
",-128.0837911,410,,5,ICHmc2,ICHmc2/52,3,B,"
YC",1999,O,"
21","
12.8","
7.9",,16.5,,,,,,3,Fair,,,
Operational,16742,,"55.34758803
",-128.0825501,,,,,ICHmc2,,,"
YC",,O,,,,,,,,,,,,,,,Not found
Research,Hazelton_creek_Lw54,Rep1,"55.39988761
",-127.7592427,365, ,0,,ICHmc2/01,4,B,Sx,1988,L,28,14.5,22,,30.9,,,,,Na,,,,,
Research,Hazelton_creek_Lw54,Rep2,"55.39988761
",-127.7592427,365, ,0,,ICHmc2/01,4,B,Lw,1988,O,29,33,21.9,,30.3,,,,,,1,Excellent,1,,
Research,Hazelton_creek_Sx29,,"55.4002732
",-127.7577548,,,,,ICHmc2/01,4,C,"
Sx",1988,O,"
29","
18.5",14.6,,23.8,,,,,,3,Good_Fair,,,Considered local species for all onsite here
Research,Hazelton_creek _Fdi31,,"55.40031041
",-127.7574421,375, ,1,,ICHmc2/01,4,C,"
FDI",1988,O,"
29","
24.8","
17.9",,27.6,,,,Forks1,?,1,Excellent,2,,Planted too close at 2m some Individuals are suppressed
Research,Hazelton_creek_Py41,,"55.40050375
",-127.758067,,,,,ICHmc2/01,3,B,"
Py",,O,,,,,,,,,,,4,Poor?,1,,
Research,Hazelton_Creek_Pw41,,"55.40061951
",-127.758,,,,,ICHmc2/01,3,B,"
Pw",1988,O,"
31","
29.6",21.4,,31.3,,,,,Na,1,Excellent,1,,
Research,Hazelton_creek_Pw57,,"55.40064908
",-127.7593536,,,,,ICHmc2/01,3,B,"
Pw",1988,O,"
29","
32.5",21.6,,33,,,,,Same as 61,1,Excellent,2,,
Research,Hazelton_creek_Lw61,,"55.40078422
",-127.7596744,365, ,1,,ICHmc2/01,4,C,"
Lw",1988,O,"
32","
34.1",22.6,,29.5,,,,,Na,1,Excellent,2,,
Research,Hazelton_creek_Fdi50,,"55.40113911
",-127.7590006,365, ,1,,ICHmc2/01,4,C,"
FDI",1988,O,"
27",,"
20",,32.5,,,,,Same as 61,1,Excellent,2,,
Operational,103P050-14,Rep1,"55.41061894
",-128.1256856,583,220,30,ICHmc2,ICHmc2/01,2,B,"
FDI",1989,O,"
27","
31.1",,,28.9,,,,"Forks, and forst?",high,3,Fair,,,
Operational,103P050-14,Rep2,"55.41087274
",-128.1265628,583,220,30,,"ICHmc2/03
ICHmc2",5,D,"
FDI",1989,O,"
27","
34.3","
20.8",,33.7,,,,,,1,Excellent,,,Beside small rivulet
Operational,65972,,"55.53858079
",-123.6529955,,,,,SBSmk2,03-Feb,B,"
FDI",2012,O,,,,,,,,,,,,,,,No fdi found.  Flat gf terrace with sandy rocky soils.  Sb in stand. 
Operational,314380000,,"55.54129134
",-123.6014692,,,,,SBSmk2,04-Mar,B,"
FDI",1979,O,,,,,,,,,,,,,,, No fdi found.  Appears to be cold dry site with poor soils.  Aspen competition high. 
Operational,98829,,"55.5420339
",-123.6193509,,,,,SBSmk2,03-Feb,B,"
FDI

",2007,O,,,,,,,,,,,,,,,Appears all fdi died
Operational,314490000,,"55.58125477
",-123.6840959,,,,,SBSmk2,04-Mar,B,"
FDI",1979,O,,,,,,,,,,,,,,, No fdi found.  Appears to be cold dry site with poor soils.  Aspen competition high. 
Operational,314540000,,"55.5937146
",-123.7922174,,,,,SBSwk2,4,C,"
FDI",1979,O,,,,,,,,,,,,,,, No fdi found.  Stand mostly Bl.  No limiting factors identified. Would likely be a good site for fdi.  
Operational,1650466,Rep1,"55.59817997
",-123.6358215,,0,0,,SBSmk2,4,C,Pli,2016,L,3,,3.15,,23.7,2.42,1.71,1.13,,,,,,,
Operational,1650466,Rep2,"55.59817997
",-123.6358215,,0,0,,SBSmk2,4,C,LW,2016,O,5,,3.54,,21.4,2.6,2,1.2,,,02-Jan,Excellent_good,,,
Operational,315910000,,"55.60412238
",-123.8019581,,,,,SBSmk2,4,C,"
FDI",1979,O,,,,,,,,,,,,,,,Same as other sites in area.  No fdi found.  Good site.  High deciduous competition
Operational,1549470,Rep1,"55.6878921
",-123.859027,,250,20,,SBSmk2,03-Feb,B,Pli,2014,L,6,,3.7,,20.5,3.2,2.7,2.1,,,,,,,
Operational,1549470,Rep2,"55.6878921
",-123.859027,,250,20,,SBSmk2,03-Feb,B,"
LW",2014,O,3,,2.04,,18.1,1.5,1.17,0.83,,,02-Jan,Excellent_good,,,Only observed 2 Lw in area.  Without knowing how many planted it's hard to estimate survival.  
Operational,1362573,,"55.70305538
",-123.7944511,,,,,SBSmk2,,,"
LW",2014,O,,,,,,,,,,,,,,,Couldnot see any Lw. 
Research,Ep976Fdi_Mt_Robson,,"55.80080716
",-128.8699666,220,,5,,ICHmc1/03,4,C,"
Fdi",1988,O,"
28",37,"
21",,33,,,,Forks2,?,1,Excellent,2,,
Research,Ep976_BrownBear_Fdi_Cp ,,"55.80110904
",-128.871643,230,210,10,,ICHmc1/01,4,C,"
Fdi",1988,O,"
28",32.6,"
20",,31.5,,,,Forks2,?,1,Excellent,,,
Research,Ep976_BrownBear_Fdi_WKL ,,"55.8012182
",-128.870925,230,210,5,,ICHmc1/01,4,C,"
Fdi",1988,O,"
25",23.5,"
17.5",,30.5,,,,Forks2,?,02-Jan,Excellent_good,1,,
Research,Ep976_BrownBear_Lw,Rep1,"55.80181397
",-128.8729773,210,,1,,ICHmc1/03,5,C,"
Lw",1988,O,"
28",35.9,"
25.2",,34.4,,,,"Forks1, snow bend 1",?,03-Feb,Good_Fair,2,,
Research,Ep976_BrownBear_Sx,,"55.80192874
",-128.8727515,,,,,ICHmc1/03,,,"
Sx",1988,O,"
30",36.5,"
19.3",,29.9,,,,,,,,,,
Research,Ep976_BrownBear_Pw,Rep1,"55.80198978
",-128.8725612,230,240,5,,ICHmc2/01,4,C,"
Pw",1988,O,"
27",37.2,"
22.3",,35.4,,,,Forks1,?,03-Feb,Good_Fair,1,,
Research,Ep976_BrownBear_Pw,Rep2,"55.80225043
",-128.8726874,230,250,15,,ICHmc1/03,4,C,"
Pw",1988,O,"
27",35.8,"
20.7",,33.6,,,,Forks2,?,2,Excellent,1,,
Research,Ep976_BrownBear_Lw,Rep 2,"55.8022545
",-128.8729674,220,250,10,,ICHmc1/03,4,C,"
Lw",1988,O,"
31",30.9,"
24",,31.6,,,,Forks1,?,1,Excellent,1,,"Wide open spacing of big Lw with thick rubupar, cornsto, corycor "
Research,Ep976_Fdi_CP,Rep 1,"56.35813878
",-129.2833517,430, ,0,,ICHvc/02-01,4,C,SX,1988,L,"28
","18.2
","15
",,"24.1
",,,,,,,,1,,
Research,Ep976_Fdi_CP,Rep 2,"56.35813878
",-129.2833517,430, ,0,,ICHvc/02-01,4,C,Fdi,1988,O,28,28.1,17.7,,28.1,,,,Forks1,?,1,Excellent,1,,
